epoch,acc_x,acc_y,acc_z,vel_x,vel_y,vel_z,pos_x,pos_y,pos_z,deflection
1567333245.087000,-0.067141,0.008340,-0.721595,-0.006173,0.003691,0.053428,0.011363,0.001335,0.035208,0.036996
1567333245.120000,0.019062,-0.173476,0.032141,-0.006966,0.000966,0.042046,0.011144,0.001412,0.036781,0.038432
1567333245.153000,-0.098219,0.037073,-0.123403,-0.008273,-0.001286,0.040522,0.010888,0.001406,0.038136,0.039659
1567333245.186000,0.098023,-0.161512,-0.051636,-0.008277,-0.003341,0.037603,0.010607,0.001329,0.039412,0.040814
1567333245.219000,-0.117315,0.166323,-0.317224,-0.008597,-0.003264,0.031474,0.010318,0.001220,0.040533,0.041826
1567333245.252000,-0.062279,-0.161514,-0.022957,-0.011562,-0.003187,0.025807,0.009971,0.001112,0.041455,0.042637
1567333245.285000,-0.002434,0.017946,-0.171370,-0.012632,-0.005560,0.022533,0.009554,0.000967,0.042224,0.043291
1567333245.318000,-0.122046,0.137586,-0.274286,-0.014688,-0.002998,0.015101,0.009083,0.000824,0.042811,0.043764
1567333245.351000,0.119722,-0.128078,-0.058983,-0.014729,-0.002846,0.009511,0.008574,0.000726,0.043178,0.044021
1567333245.384000,-0.076471,0.163864,-0.408452,-0.014018,-0.002261,0.001695,0.008073,0.000641,0.043318,0.044064
1567333245.417000,-0.078880,0.032257,-0.214639,-0.016585,0.000969,-0.008702,0.007538,0.000617,0.043153,0.043807
1567333245.450000,-0.050099,-0.089740,-0.061628,-0.018717,0.000014,-0.013387,0.006922,0.000632,0.042734,0.043291
1567333245.483000,-0.121833,0.223678,-0.267449,-0.021558,0.002216,-0.018956,0.006221,0.000666,0.042140,0.042597
1567333245.516000,-0.009294,-0.053852,-0.107194,-0.023726,0.005010,-0.025289,0.005435,0.000783,0.041345,0.041701
1567333245.549000,-0.071408,0.075299,-0.207802,-0.025062,0.005355,-0.030649,0.004587,0.000951,0.040352,0.040612
1567333245.582000,0.069775,-0.247735,0.012262,-0.025093,0.002501,-0.034050,0.003714,0.001078,0.039208,0.039384
1567333245.615000,-0.090495,0.053816,-0.212805,-0.025440,-0.000709,-0.037545,0.002832,0.001105,0.037946,0.038052
1567333245.648000,-0.013831,0.063325,-0.064538,-0.027167,0.001213,-0.042319,0.001913,0.001110,0.036542,0.036592
1567333245.681000,0.105888,-0.166350,0.047831,-0.025653,-0.000498,-0.042803,0.000987,0.001118,0.035046,0.035060
1567333245.714000,-0.032793,0.209339,-0.292089,-0.024452,0.000200,-0.047054,0.000102,0.001110,0.033467,0.033467
1567333245.747000,0.034273,-0.089767,-0.029003,-0.024433,0.002160,-0.052584,-0.000765,0.001145,0.031721,0.031730
1567333245.780000,0.165969,-0.168714,0.025882,-0.021135,-0.002118,-0.052878,-0.001580,0.001141,0.029874,0.029916
1567333245.813000,-0.106658,0.077723,-0.182448,-0.020162,-0.003633,-0.055715,-0.002328,0.001042,0.027970,0.028066
1567333245.846000,0.015437,-0.175979,0.092586,-0.021672,-0.005269,-0.057463,-0.003087,0.000891,0.025984,0.026167
1567333245.879000,-0.068208,0.111155,-0.158805,-0.022549,-0.006353,-0.058831,-0.003889,0.000695,0.023943,0.024257
1567333245.912000,0.089787,-0.166377,0.113866,-0.022198,-0.007280,-0.059859,-0.004702,0.000465,0.021856,0.022356
1567333245.945000,-0.029741,0.242752,-0.250017,-0.021213,-0.006035,-0.062402,-0.005496,0.000240,0.019705,0.020458
1567333245.978000,-0.055906,0.103984,-0.140047,-0.022631,-0.000331,-0.069145,-0.006300,0.000130,0.017396,0.018502
1567333246.011000,0.004035,-0.111375,0.034447,-0.023493,-0.000470,-0.071205,-0.007145,0.000112,0.014936,0.016557
1567333246.044000,-0.113127,0.144673,-0.145182,-0.025298,0.000062,-0.073360,-0.008036,0.000100,0.012402,0.014778
1567333246.077000,-0.000516,0.060919,-0.049640,-0.027177,0.003435,-0.076912,-0.008991,0.000152,0.009768,0.013276
1567333246.110000,0.059438,-0.164050,0.038740,-0.026210,0.001715,-0.077440,-0.009963,0.000231,0.007062,0.012212
1567333246.143000,-0.009758,0.180552,-0.241417,-0.025394,0.001968,-0.081141,-0.010908,0.000286,0.004280,0.011718
1567333246.176000,0.145917,-0.257320,0.134094,-0.023151,0.000681,-0.083279,-0.011806,0.000323,0.001397,0.011888
1567333246.209000,-0.066938,0.044132,-0.050357,-0.021851,-0.002857,-0.082273,-0.012648,0.000281,-0.001510,0.012738
1567333246.242000,0.074426,-0.135334,0.126467,-0.021731,-0.004383,-0.081402,-0.013469,0.000155,-0.004391,0.014166
1567333246.275000,0.007502,0.115908,-0.103395,-0.020382,-0.004725,-0.081415,-0.014268,-0.000002,-0.007263,0.016010
1567333246.308000,0.055515,-0.051594,0.085485,-0.019344,-0.003685,-0.082114,-0.015030,-0.000148,-0.010153,0.018137
1567333246.341000,0.199245,-0.171239,0.152271,-0.015141,-0.007385,-0.078602,-0.015708,-0.000337,-0.013000,0.020390
1567333246.374000,-0.051837,0.135018,-0.130259,-0.012710,-0.008005,-0.078659,-0.016278,-0.000599,-0.015796,0.022683
1567333246.407000,0.067972,-0.149673,0.118337,-0.012444,-0.008271,-0.079283,-0.016807,-0.000874,-0.018609,0.025075
1567333246.440000,0.056180,-0.101821,0.067928,-0.010395,-0.012444,-0.076646,-0.017300,-0.001224,-0.021393,0.027513
1567333246.473000,-0.089568,0.075186,-0.044756,-0.010944,-0.012908,-0.076707,-0.017770,-0.001650,-0.024140,0.029975
1567333246.506000,0.078109,-0.149685,0.208641,-0.011131,-0.014162,-0.074455,-0.018254,-0.002104,-0.026856,0.032472
1567333246.539000,0.020824,0.175696,-0.112142,-0.009495,-0.013758,-0.073321,-0.018717,-0.002573,-0.029521,0.034954
1567333246.572000,0.049743,0.094396,0.019259,-0.008327,-0.009327,-0.075319,-0.019135,-0.002962,-0.032205,0.037461
1567333246.605000,-0.043329,0.190105,-0.093428,-0.008216,-0.004659,-0.077016,-0.019534,-0.003201,-0.034955,0.040043
1567333246.638000,0.028647,-0.027704,0.152807,-0.008452,-0.002006,-0.076515,-0.019937,-0.003319,-0.037730,0.042674
1567333246.671000,0.052771,-0.070758,0.310586,-0.007102,-0.003657,-0.069355,-0.020324,-0.003421,-0.040384,0.045209
1567333246.704000,-0.011656,0.254624,-0.048543,-0.006415,-0.000651,-0.065523,-0.020679,-0.003501,-0.042860,0.047588
1567333246.737000,0.072294,-0.161671,0.243096,-0.005406,0.000855,-0.062811,-0.021007,-0.003507,-0.045234,0.049874
1567333246.770000,0.036606,0.134978,-0.046602,-0.003598,0.000387,-0.060072,-0.021291,-0.003495,-0.047523,0.052074
1567333246.803000,-0.030165,0.259422,-0.077894,-0.003480,0.006866,-0.062635,-0.021545,-0.003384,-0.049813,0.054273
1567333246.836000,0.092040,-0.118626,0.221004,-0.002446,0.009160,-0.060788,-0.021781,-0.003129,-0.052120,0.056488
1567333246.869000,-0.051317,0.120655,0.046143,-0.001760,0.009164,-0.056900,-0.021990,-0.002836,-0.054337,0.058618
1567333246.902000,-0.063065,0.084761,0.079381,-0.003632,0.012524,-0.055352,-0.022220,-0.002488,-0.056469,0.060683
1567333246.935000,0.154861,-0.190414,0.292179,-0.002100,0.010751,-0.049750,-0.022457,-0.002113,-0.058487,0.062651
1567333246.968000,0.073784,-0.168840,0.277562,0.001692,0.004794,-0.040882,-0.022608,-0.001866,-0.060271,0.064372
1567333247.001000,0.064397,-0.058810,0.145757,0.003992,0.001007,-0.034434,-0.022659,-0.001780,-0.061807,0.065830
1567333247.034000,-0.047860,0.170861,-0.026645,0.004286,0.002825,-0.033009,-0.022669,-0.001727,-0.063217,0.067159
1567333247.067000,0.105548,-0.238272,0.358364,0.005261,0.001682,-0.028080,-0.022659,-0.001663,-0.064527,0.068390
1567333247.100000,0.053116,-0.061163,0.240881,0.007904,-0.003290,-0.018739,-0.022590,-0.001699,-0.065605,0.069386
1567333247.133000,0.058153,0.063186,0.101925,0.009767,-0.003288,-0.013633,-0.022448,-0.001818,-0.066449,0.070139
1567333247.166000,0.118207,-0.156874,0.319540,0.012705,-0.004865,-0.007231,-0.022227,-0.001962,-0.067108,0.070693
1567333247.199000,0.049012,0.106338,0.003479,0.015494,-0.005731,-0.002457,-0.021913,-0.002148,-0.067586,0.071049
1567333247.232000,0.006198,-0.027717,0.189913,0.016437,-0.004466,0.000177,-0.021537,-0.002326,-0.067945,0.071277
1567333247.265000,0.102150,-0.176089,0.295053,0.018258,-0.007861,0.007620,-0.021117,-0.002540,-0.068142,0.071339
1567333247.298000,-0.000482,0.223535,0.067553,0.019971,-0.007111,0.013042,-0.020639,-0.002798,-0.068130,0.071188
1567333247.331000,0.085863,0.139789,0.043446,0.021417,-0.001149,0.014311,-0.020109,-0.002944,-0.068012,0.070923
1567333247.364000,0.007162,0.144598,0.079163,0.022992,0.003511,0.015771,-0.019530,-0.002916,-0.067852,0.070607
1567333247.397000,0.088801,-0.209517,0.325430,0.024616,0.002407,0.021882,-0.018899,-0.002829,-0.067571,0.070164
1567333247.430000,-0.088061,0.120678,0.131382,0.024671,0.000908,0.028855,-0.018239,-0.002785,-0.067077,0.069512
1567333247.463000,-0.013579,0.058508,0.222220,0.023040,0.003831,0.034124,-0.017607,-0.002717,-0.066384,0.068679
1567333247.496000,0.122981,-0.087508,0.267459,0.024892,0.003319,0.041638,-0.016970,-0.002610,-0.065483,0.067646
1567333247.529000,0.032321,0.190124,0.059102,0.027503,0.004978,0.046461,-0.016260,-0.002484,-0.064382,0.066404
1567333247.562000,0.094841,0.003412,0.193000,0.029653,0.008138,0.050056,-0.015471,-0.002279,-0.063145,0.065013
1567333247.595000,-0.024551,-0.063561,0.137829,0.030866,0.007111,0.054950,-0.014627,-0.002038,-0.061770,0.063478
1567333247.628000,-0.048231,0.151800,-0.003540,0.029720,0.008533,0.056602,-0.013781,-0.001790,-0.060291,0.061845
1567333247.661000,0.021352,-0.130526,0.199700,0.029334,0.008850,0.059277,-0.012960,-0.001514,-0.058742,0.060154
1567333247.694000,0.021601,-0.130519,0.199553,0.030102,0.004509,0.065303,-0.012132,-0.001305,-0.057052,0.058328
1567333247.727000,-0.081021,0.082490,0.036717,0.029184,0.003682,0.068642,-0.011306,-0.001180,-0.055210,0.056355
1567333247.760000,0.103495,-0.044399,0.232807,0.029618,0.004276,0.072531,-0.010488,-0.001060,-0.053250,0.054273
1567333247.793000,0.067851,-0.034779,0.211095,0.032511,0.002936,0.079299,-0.009614,-0.000952,-0.051117,0.052014
1567333247.826000,0.099187,-0.149605,0.194191,0.035335,-0.000141,0.085433,-0.008645,-0.000916,-0.048773,0.049533
1567333247.859000,0.015686,0.075271,-0.016489,0.037301,-0.001402,0.087813,-0.007597,-0.000952,-0.046290,0.046909
1567333247.892000,-0.022313,-0.025138,0.167650,0.037264,-0.000609,0.089759,-0.006515,-0.000996,-0.043738,0.044220
1567333247.925000,0.025790,-0.120840,0.287165,0.037395,-0.003052,0.096717,-0.005431,-0.001067,-0.041040,0.041397
1567333247.958000,-0.057713,0.113649,0.129058,0.036945,-0.003205,0.103042,-0.004351,-0.001181,-0.038124,0.038371
1567333247.991000,0.110029,0.015497,0.121780,0.037887,-0.001109,0.106641,-0.003262,-0.001263,-0.035045,0.035197
1567333248.024000,0.165287,-0.142378,0.195900,0.042510,-0.003237,0.111346,-0.002080,-0.001345,-0.031831,0.031899
1567333248.057000,-0.042666,0.154385,-0.129696,0.044616,-0.003073,0.111905,-0.000785,-0.001460,-0.028531,0.028542
1567333248.090000,0.007784,-0.065761,0.102317,0.044125,-0.001645,0.110924,0.000537,-0.001548,-0.025238,0.025244
1567333248.123000,-0.068469,0.080176,0.037583,0.043210,-0.001442,0.112707,0.001838,-0.001609,-0.021933,0.022010
1567333248.156000,-0.053914,0.106571,0.080529,0.041279,0.001605,0.114135,0.003094,-0.001617,-0.018576,0.018832
1567333248.189000,0.046840,0.161601,-0.125316,0.041253,0.005995,0.112879,0.004319,-0.001501,-0.015216,0.015817
1567333248.222000,0.063843,0.027560,0.001384,0.043172,0.009082,0.110321,0.005576,-0.001263,-0.011919,0.013159
1567333248.255000,-0.055567,-0.017828,0.068266,0.043403,0.009209,0.110962,0.006871,-0.000971,-0.008653,0.011050
1567333248.288000,-0.108000,0.116147,-0.058629,0.040800,0.010797,0.110618,0.008129,-0.000650,-0.005383,0.009750
1567333248.321000,0.074042,-0.156558,0.228418,0.040338,0.010096,0.112920,0.009338,-0.000315,-0.002081,0.009567
1567333248.354000,-0.023800,0.001346,0.060830,0.041267,0.007501,0.117199,0.010556,-0.000035,0.001331,0.010640
1567333248.387000,-0.054665,0.180826,-0.097144,0.040074,0.010473,0.116111,0.011773,0.000252,0.004796,0.012712
1567333248.420000,0.156103,-0.180432,0.087037,0.041851,0.010445,0.115461,0.013001,0.000588,0.008233,0.015388
1567333248.453000,0.048642,0.130654,-0.190672,0.045334,0.009590,0.113273,0.014317,0.000910,0.011624,0.018442
1567333248.486000,-0.061273,-0.068009,0.041370,0.045233,0.010590,0.110336,0.015692,0.001233,0.014931,0.021661
1567333248.519000,-0.080185,0.152171,-0.135818,0.043007,0.011945,0.108310,0.017031,0.001596,0.018157,0.024895
1567333248.552000,0.094678,-0.048746,0.086716,0.043356,0.013618,0.107038,0.018341,0.002009,0.021330,0.028132
1567333248.585000,0.066247,-0.089423,0.007598,0.046122,0.011305,0.108138,0.019705,0.002412,0.024502,0.031443
1567333248.618000,-0.034070,0.147430,-0.164681,0.046765,0.012228,0.105096,0.021128,0.002792,0.027643,0.034793
1567333248.651000,0.078609,-0.218630,0.062565,0.047614,0.011020,0.102966,0.022578,0.003167,0.030701,0.038109
1567333248.684000,-0.067218,0.047055,-0.076368,0.047917,0.008156,0.102300,0.024049,0.003475,0.033714,0.041412
1567333248.717000,-0.071833,0.114057,-0.157735,0.045739,0.010781,0.098004,0.025492,0.003779,0.036647,0.044641
1567333248.750000,0.000138,-0.177863,0.031171,0.044674,0.009696,0.095489,0.026884,0.004109,0.039469,0.047756
1567333248.783000,-0.078623,0.111654,0.368551,0.043497,0.008570,0.101663,0.028242,0.004403,0.042355,0.050907
1567333248.816000,-0.016172,-0.010316,-0.110079,0.042053,0.010210,0.105514,0.029560,0.004705,0.045408,0.054181
1567333248.849000,0.053335,-0.235255,0.002338,0.042786,0.006125,0.103327,0.030868,0.004967,0.048490,0.057482
1567333248.882000,0.000844,-0.115588,-0.026459,0.043802,0.000304,0.102527,0.032208,0.005066,0.051526,0.060765
1567333248.915000,-0.049200,-0.192054,0.035653,0.043126,-0.004805,0.102282,0.033556,0.004985,0.054548,0.064043
1567333248.948000,-0.168679,0.154932,-0.213204,0.039654,-0.005449,0.098963,0.034839,0.004809,0.057513,0.067242
1567333248.981000,0.082725,-0.144144,0.035530,0.038359,-0.005304,0.095647,0.036046,0.004625,0.060372,0.070314
1567333249.014000,-0.036763,0.174110,-0.342577,0.039241,-0.004841,0.090203,0.037249,0.004451,0.063089,0.073265
1567333249.047000,-0.060542,0.066461,-0.225349,0.037760,-0.000904,0.080461,0.038446,0.004349,0.065559,0.076000
1567333249.080000,-0.005383,-0.237418,0.068890,0.036798,-0.003756,0.077515,0.039605,0.004266,0.067823,0.078539
1567333249.113000,-0.175094,0.164586,-0.256651,0.033945,-0.004990,0.074058,0.040703,0.004116,0.069984,0.080960
1567333249.146000,-0.107980,-0.002882,-0.086760,0.029400,-0.002353,0.068039,0.041683,0.003989,0.071992,0.083189
1567333249.179000,-0.012137,-0.076990,-0.086818,0.027543,-0.003702,0.064828,0.042560,0.003883,0.073852,0.085238
1567333249.212000,-0.088601,0.214984,-0.362049,0.026007,-0.001457,0.057082,0.043385,0.003793,0.075534,0.087107
1567333249.245000,-0.078870,0.078605,-0.285516,0.023369,0.003356,0.046063,0.044143,0.003819,0.076910,0.088678
1567333249.278000,-0.672155,0.193472,-0.345394,0.011103,0.007815,0.035325,0.044659,0.003998,0.077931,0.089820
1567333249.311000,-0.006858,-0.222886,0.066037,0.000024,0.007298,0.030394,0.044792,0.004242,0.078698,0.090552
1567333249.344000,-0.057060,0.038004,-0.209194,-0.000906,0.004217,0.027717,0.044730,0.004428,0.079342,0.091082
1567333249.377000,0.048364,-0.045712,-0.168552,-0.000925,0.004059,0.021174,0.044656,0.004560,0.079839,0.091479
1567333249.410000,0.091512,-0.186894,-0.070443,0.001508,0.000190,0.016927,0.044624,0.004625,0.080161,0.091745
1567333249.443000,-0.193084,0.143428,-0.329002,-0.000045,-0.000557,0.010039,0.044610,0.004615,0.080304,0.091863
1567333249.476000,-0.063844,-0.203497,-0.029955,-0.004161,-0.001579,0.003825,0.044505,0.004576,0.080235,0.091752
1567333249.509000,-0.044640,-0.153251,-0.087380,-0.005829,-0.007495,0.001603,0.044308,0.004422,0.080031,0.091478
1567333249.542000,-0.066040,0.109995,-0.247774,-0.007534,-0.008239,-0.004207,0.044058,0.004159,0.079699,0.091066
1567333249.575000,0.075149,-0.157985,-0.013352,-0.007263,-0.009061,-0.008789,0.043788,0.003870,0.079200,0.090498
1567333249.608000,-0.096989,0.169888,-0.137854,-0.007504,-0.008894,-0.011553,0.043521,0.003570,0.078583,0.089830
1567333249.641000,0.039385,-0.143495,-0.085247,-0.008336,-0.008488,-0.015496,0.043239,0.003280,0.077861,0.089061
1567333249.674000,-0.144727,0.165157,-0.312620,-0.009957,-0.008161,-0.022318,0.042919,0.003002,0.076965,0.088123
1567333249.707000,-0.080148,0.036042,-0.116444,-0.013551,-0.004870,-0.029649,0.042516,0.002784,0.075841,0.086945
1567333249.740000,0.039540,-0.243899,0.046193,-0.014107,-0.008329,-0.031054,0.042048,0.002563,0.074576,0.085613
1567333249.773000,-0.056131,0.208325,-0.358190,-0.014267,-0.008946,-0.036442,0.041570,0.002276,0.073204,0.084184
1567333249.806000,-0.005786,-0.057200,-0.095033,-0.015177,-0.006481,-0.044155,0.041078,0.002019,0.071621,0.082565
1567333249.839000,-0.139811,0.081604,-0.298478,-0.017469,-0.006107,-0.050878,0.040535,0.001809,0.069804,0.080720
1567333249.872000,-0.240203,0.146271,-0.296178,-0.023630,-0.002376,-0.060914,0.039856,0.001666,0.067715,0.078573
1567333249.905000,-0.051206,-0.255663,0.038764,-0.028332,-0.004210,-0.065380,0.038999,0.001555,0.065391,0.076138
1567333249.938000,-0.151706,0.060251,-0.159874,-0.031575,-0.007463,-0.067592,0.038015,0.001361,0.062962,0.073548
1567333249.971000,-0.122959,0.112857,-0.169538,-0.036003,-0.004635,-0.073236,0.036906,0.001159,0.060408,0.070790
1567333250.004000,-0.075094,0.191941,-0.315513,-0.039170,0.000365,-0.081443,0.035674,0.001087,0.057630,0.067778
1567333250.037000,-0.108530,0.084308,-0.186412,-0.042100,0.004895,-0.089924,0.034344,0.001172,0.054581,0.064488
1567333250.070000,-0.089407,-0.073634,-0.045247,-0.045269,0.005043,-0.093940,0.032916,0.001334,0.051331,0.060978
1567333250.103000,-0.175612,0.093908,-0.210442,-0.049546,0.005350,-0.098348,0.031367,0.001504,0.047946,0.057295
1567333250.136000,0.051698,-0.188381,0.081452,-0.051498,0.003763,-0.100660,0.029718,0.001653,0.044455,0.053474
1567333250.169000,-0.027259,0.003091,-0.031080,-0.051003,0.000678,-0.100008,0.028046,0.001725,0.040942,0.049627
1567333250.202000,-0.029629,0.175439,-0.239226,-0.051853,0.003596,-0.104643,0.026371,0.001794,0.037367,0.045735
1567333250.235000,0.054099,-0.200207,0.031096,-0.051363,0.003160,-0.108247,0.024692,0.001905,0.033661,0.041746
1567333250.268000,-0.012906,-0.056591,-0.019259,-0.050600,-0.001105,-0.108216,0.023035,0.001937,0.029900,0.037745
1567333250.301000,-0.012934,-0.056544,-0.019304,-0.050945,-0.002999,-0.109013,0.021388,0.001868,0.026132,0.033768
1567333250.334000,-0.060823,0.120612,-0.186846,-0.052083,-0.001969,-0.112571,0.019717,0.001785,0.022296,0.029764
1567333250.367000,-0.101557,-0.097145,-0.002623,-0.054685,-0.001608,-0.115849,0.017987,0.001725,0.018351,0.025696
1567333250.400000,-0.190151,0.185237,-0.165357,-0.059424,-0.000182,-0.118768,0.016137,0.001695,0.014309,0.021568
1567333250.433000,-0.118410,0.010630,-0.012218,-0.064444,0.003023,-0.121840,0.014128,0.001741,0.010173,0.017409
1567333250.466000,0.039430,-0.085033,0.049917,-0.065679,0.001769,-0.121357,0.012017,0.001819,0.005998,0.013431
1567333250.499000,-0.053881,0.161459,-0.151157,-0.065851,0.003004,-0.123161,0.009884,0.001896,0.001806,0.010048
